Building Name,Building Code,Name,Old Unit No,Unit Type,PREMISES NO,Rental Status,Property Service Type,Price,Building Segment,Unit Segment,
AL MAMZER TOWER,F8,F8-2601,2601,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-2601,
AL MAMZER TOWER,F8,F8-2602,2602,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2602,
AL MAMZER TOWER,F8,F8-2603,2603,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2603,
AL MAMZER TOWER,F8,F8-2604,2604,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-2604,
AL MAMZER TOWER,F8,F8-2605,2605,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-2605,
AL MAMZER TOWER,F8,F8-2606,2606,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2606,
AL MAMZER TOWER,F8,F8-2607,2607,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2607,
AL MAMZER TOWER,F8,F8-2608,2608,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-2608,
AL MAMZER TOWER,F8,F8-2701,2701,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-2701,
AL MAMZER TOWER,F8,F8-2702,2702,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2702,
AL MAMZER TOWER,F8,F8-2703,2703,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2703,
AL MAMZER TOWER,F8,F8-2704,2704,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-2704,
AL MAMZER TOWER,F8,F8-2705,2705,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-2705,
AL MAMZER TOWER,F8,F8-2706,2706,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2706,
AL MAMZER TOWER,F8,F8-2707,2707,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2707,
AL MAMZER TOWER,F8,F8-2708,2708,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-2708,
AL MAMZER TOWER,F8,F8-2801,2801,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-2801,
AL MAMZER TOWER,F8,F8-2802,2802,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2802,
AL MAMZER TOWER,F8,F8-2803,2803,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2803,
AL MAMZER TOWER,F8,F8-2804,2804,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-2804,
AL MAMZER TOWER,F8,F8-2805,2805,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-2805,
AL MAMZER TOWER,F8,F8-2806,2806,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2806,
AL MAMZER TOWER,F8,F8-2807,2807,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2807,
AL MAMZER TOWER,F8,F8-2808,2808,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-2808,
AL MAMZER TOWER,F8,F8-2901,2901,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-2901,
AL MAMZER TOWER,F8,F8-2902,2902,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2902,
AL MAMZER TOWER,F8,F8-2903,2903,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2903,
AL MAMZER TOWER,F8,F8-2904,2904,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-2904,
AL MAMZER TOWER,F8,F8-2905,2905,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-2905,
AL MAMZER TOWER,F8,F8-2906,2906,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2906,
AL MAMZER TOWER,F8,F8-2907,2907,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-2907,
AL MAMZER TOWER,F8,F8-2908,2908,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-2908,
AL MAMZER TOWER,F8,F8-3001,3001,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-3001,
AL MAMZER TOWER,F8,F8-3002,3002,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3002,
AL MAMZER TOWER,F8,F8-3003,3003,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3003,
AL MAMZER TOWER,F8,F8-3004,3004,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3004,
AL MAMZER TOWER,F8,F8-3005,3005,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3005,
AL MAMZER TOWER,F8,F8-3006,3006,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3006,
AL MAMZER TOWER,F8,F8-3007,3007,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3007,
AL MAMZER TOWER,F8,F8-3008,3008,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-3008,
AL MAMZER TOWER,F8,F8-301,301,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-301,
AL MAMZER TOWER,F8,F8-302,302,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-302,
AL MAMZER TOWER,F8,F8-303,303,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-303,
AL MAMZER TOWER,F8,F8-304,304,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-304,
AL MAMZER TOWER,F8,F8-305,305,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-305,
AL MAMZER TOWER,F8,F8-306,306,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-306,
AL MAMZER TOWER,F8,F8-307,307,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-307,
AL MAMZER TOWER,F8,F8-308,308,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-308,
AL MAMZER TOWER,F8,F8-3101,3101,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-3101,
AL MAMZER TOWER,F8,F8-3102,3102,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3102,
AL MAMZER TOWER,F8,F8-3103,3103,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3103,
AL MAMZER TOWER,F8,F8-3104,3104,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3104,
AL MAMZER TOWER,F8,F8-3105,3105,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3105,
AL MAMZER TOWER,F8,F8-3106,3106,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3106,
AL MAMZER TOWER,F8,F8-3107,3107,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3107,
AL MAMZER TOWER,F8,F8-3108,3108,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-3108,
AL MAMZER TOWER,F8,F8-3201,3201,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-3201,
AL MAMZER TOWER,F8,F8-3202,3202,2BHK,,BOOKED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3202,
AL MAMZER TOWER,F8,F8-3203,3203,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3203,
AL MAMZER TOWER,F8,F8-3204,3204,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3204,
AL MAMZER TOWER,F8,F8-3205,3205,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3205,
AL MAMZER TOWER,F8,F8-3206,3206,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3206,
AL MAMZER TOWER,F8,F8-3207,3207,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3207,
AL MAMZER TOWER,F8,F8-3208,3208,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-3208,
AL MAMZER TOWER,F8,F8-3301,3301,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-3301,
AL MAMZER TOWER,F8,F8-3302,3302,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3302,
AL MAMZER TOWER,F8,F8-3303,3303,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3303,
AL MAMZER TOWER,F8,F8-3304,3304,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3304,
AL MAMZER TOWER,F8,F8-3305,3305,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3305,
AL MAMZER TOWER,F8,F8-3306,3306,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3306,
AL MAMZER TOWER,F8,F8-3307,3307,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3307,
AL MAMZER TOWER,F8,F8-3308,3308,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-3308,
AL MAMZER TOWER,F8,F8-3401,3401,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-3401,
AL MAMZER TOWER,F8,F8-3402,3402,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3402,
AL MAMZER TOWER,F8,F8-3403,3403,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3403,
AL MAMZER TOWER,F8,F8-3404,3404,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3404,
AL MAMZER TOWER,F8,F8-3405,3405,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-3405,
AL MAMZER TOWER,F8,F8-3406,3406,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3406,
AL MAMZER TOWER,F8,F8-3407,3407,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-3407,
AL MAMZER TOWER,F8,F8-3408,3408,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-3408,
AL MAMZER TOWER,F8,F8-401,401,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-401,
AL MAMZER TOWER,F8,F8-402,402,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-402,
